Airport,State,Flight_Phase,Height,Speed,Distance
PORT COLUMBUS INTL,OH,LOCAL,,,0.0
PORT COLUMBUS INTL,OH,,,,0.0
PORTLAND INTL (OR),OR,LOCAL,1500,,4.0
PORTLAND INTL (OR),OR,,,,0.0
DENVER INTL AIRPORT,CO,,0,,0.0
DENVER INTL AIRPORT,CO,,,,0.0
DENVER INTL AIRPORT,CO,DEPARTURE,,,0.0
DENVER INTL AIRPORT,CO,DEPARTURE,,,0.0
DENVER INTL AIRPORT,CO,DEPARTURE,,,0.0
DENVER INTL AIRPORT,CO,LOCAL,,,0.0
DENVER INTL AIRPORT,CO,DEPARTURE,,,0.0
DENVER INTL AIRPORT,CO,,,,0.0
DENVER INTL AIRPORT,CO,,,,0.0
DENVER INTL AIRPORT,CO,LOCAL,,,0.0
DENVER INTL AIRPORT,CO,ARRIVAL,,,0.0
DENVER INTL AIRPORT,CO,ARRIVAL,,,0.0
DENVER INTL AIRPORT,CO,DEPARTURE,,,0.0
DENVER INTL AIRPORT,CO,,0,,0.0
DENVER INTL AIRPORT,CO,LOCAL,,,0.0
DENVER INTL AIRPORT,CO,,0,,0.0
DENVER INTL AIRPORT,CO,,,,0.0
DENVER INTL AIRPORT,CO,,,,0.0
DENVER INTL AIRPORT,CO,,,,0.0
DENVER INTL AIRPORT,CO,ARRIVAL,,,0.0
DENVER INTL AIRPORT,CO,ARRIVAL,,,0.0
DENVER INTL AIRPORT,CO,ARRIVAL,,,0.0
DENVER INTL AIRPORT,CO,DEPARTURE,,,0.0
DENVER INTL AIRPORT,CO,ARRIVAL,,,0.0
DENVER INTL AIRPORT,CO,,0,,0.0
DENVER INTL AIRPORT,CO,ARRIVAL,,,0.0
DENVER INTL AIRPORT,CO,DEPARTURE,,,0.0
DENVER INTL AIRPORT,CO,,0,,0.0
DENVER INTL AIRPORT,CO,DEPARTURE,,,0.0
DENVER INTL AIRPORT,CO,DEPARTURE,,,0.0
DENVER INTL AIRPORT,CO,,0,,0.0
DENVER INTL AIRPORT,CO,DEPARTURE,,,0.0
DENVER INTL AIRPORT,CO,ARRIVAL,,,0.0
DENVER INTL AIRPORT,CO,ARRIVAL,,,0.0
DENVER INTL AIRPORT,CO,LOCAL,0,120,0.0
DENVER INTL AIRPORT,CO,ARRIVAL,,,0.0
DENVER INTL AIRPORT,CO,DEPARTURE,,,0.0
DENVER INTL AIRPORT,CO,DEPARTURE,,,0.0
DENVER INTL AIRPORT,CO,PARKED,0,0,0.0
DENVER INTL AIRPORT,CO,DEPARTURE,,,0.0
DENVER INTL AIRPORT,CO,ARRIVAL,,,0.0
DENVER INTL AIRPORT,CO,ARRIVAL,,,0.0
DENVER INTL AIRPORT,CO,DEPARTURE,,,0.0
DENVER INTL AIRPORT,CO,ARRIVAL,,,0.0
DENVER INTL AIRPORT,CO,,0,,0.0
DENVER INTL AIRPORT,CO,,0,,0.0
DENVER INTL AIRPORT,CO,ARRIVAL,,,0.0
DENVER INTL AIRPORT,CO,ARRIVAL,,,0.0
DENVER INTL AIRPORT,CO,LOCAL,,,0.0
DENVER INTL AIRPORT,CO,DEPARTURE,,,0.0
JOHN F KENNEDY INTL,NY,,,,0.0
JOHN F KENNEDY INTL,NY,,,,0.0
JOHN F KENNEDY INTL,NY,,,,0.0
JOHN F KENNEDY INTL,NY,DEPARTURE,,,0.0
JOHN F KENNEDY INTL,NY,DEPARTURE,,,0.0
JOHN F KENNEDY INTL,NY,,,,0.0
JOHN F KENNEDY INTL,NY,,,,0.0
JOHN F KENNEDY INTL,NY,ARRIVAL,,,0.0
